Country,Longitude,Latitude,Population
Andorra,1.601554,42.546245,79824
United Arab Emirates,53.847818,23.424076,9441129
Afghanistan,67.709953,33.93911,41128771
Antigua and Barbuda,-61.796428,17.060816,93763
Albania,20.168331,41.153332,2775634
Armenia,45.038189,40.069099,2780469
Angola,17.873887,-11.202692,35588987
Argentina,-63.616672,-38.416097,46234830
American Samoa,-170.132217,-14.270972,44273
Austria,14.550072,47.516231,9042528
Australia,133.775136,-25.274398,25978935
Aruba,-69.968338,12.52111,106445
Azerbaijan,47.576927,40.143105,10175016
Bosnia and Herzegovina,17.679076,43.915886,3233526
Barbados,-59.543198,13.193887,281635
Bangladesh,90.356331,23.684994,171186372
Belgium,4.469936,50.503887,11669446
Burkina Faso,-1.561593,12.238333,22673762
Bulgaria,25.48583,42.733883,6465097
Bahrain,50.637772,25.930414,1472233
Burundi,29.918886,-3.373056,12889576
Benin,2.315834,9.30769,13352864
Bermuda,-64.75737,32.321384,63532
Bolivia,-63.588653,-16.290154,12224110
Brazil,-51.92528,-14.235004,215313498
Bahamas,-77.39628,25.03428,409984
Bhutan,90.433601,27.514162,782455
Botswana,24.684866,-22.328474,2630296
Belarus,27.953389,53.709807,9208701
Belize,-88.49765,17.189877,405272
Canada,-106.346771,56.130366,38929902
Central African Republic,20.939444,6.611111,5579144
Switzerland,8.227512,46.818188,8769741
Chile,-71.542969,-35.675147,19603733
Cameroon,12.354722,7.369722,27914536
China,104.195397,35.86166,1412175000
Colombia,-74.297333,4.570868,51874024
Costa Rica,-83.753428,9.748917,5180829
Cuba,-77.781167,21.521757,11212191
Cyprus,33.429859,35.126413,1251488
Germany,10.451526,51.165691,84079811
Djibouti,42.590275,11.825138,1120849
Denmark,9.501785,56.26392,5903037
Dominica,-61.370976,15.414999,72737
Dominican Republic,-70.162651,18.735693,11228821
Algeria,1.659626,28.033886,44903225
Ecuador,-78.183406,-1.831239,18001000
Estonia,25.013607,58.595272,1344768
Egypt,30.802498,26.820553,110990103
Eritrea,39.782334,15.179384,3684032
Spain,-3.74922,40.463667,47615034
Ethiopia,40.489673,9.145,123379924
Finland,25.748151,61.92411,5556880
Fiji,179.414413,-16.578193,929766
Micronesia,150.550812,7.425554,114164
Faroe Islands,-6.911806,61.892635,53090
France,2.213749,46.227638,67935660
Gabon,11.609444,-0.803689,2388992
United Kingdom,-3.435973,55.378051,66971411
Grenada,-61.604171,12.262776,125438
Georgia,43.356892,42.315407,3712502
Ghana,-1.023194,7.946527,33475870
Gibraltar,-5.345374,36.137741,32649
Greenland,-42.604303,71.706936,56661
Gambia,-15.310139,13.443182,2705992
Guinea,-9.696645,9.945587,13859341
Equatorial Guinea,10.267895,1.650801,1674908
Greece,21.824312,39.074208,10566531
Guatemala,-90.230759,15.783471,17357886
Guam,144.793731,13.444304,171774
Guinea-Bissau,-15.180413,11.803749,2105566
Guyana,-58.93018,4.860416,808726
Honduras,-86.241905,15.199999,10432860
Croatia,15.2,45.1,3854000
Haiti,-72.285215,18.971187,11584996
Hungary,19.503304,47.162494,9683505
Indonesia,113.921327,-0.789275,275501339
Ireland,-8.24389,53.41291,5086988
Israel,34.851612,31.046051,9550600
Isle of Man,-4.548056,54.236107,84519
India,78.96288,20.593684,1417173173
Iraq,43.679291,33.223191,44496122
Iran,53.688046,32.427908,88550570
Iceland,-19.020835,64.963051,381900
Italy,12.56738,41.87194,58856847
Jamaica,-77.297508,18.109581,2827377
Jordan,36.238414,30.585164,11285869
Japan,138.252924,36.204824,125124989
Kenya,37.906193,-0.023559,54027487
Cambodia,104.990963,12.565679,16767842
Kiribati,-168.734039,-3.370417,131232
Comoros,43.872219,-11.875001,836774
Kuwait,47.481766,29.31166,4268873
Cayman Islands,-80.566956,19.513469,68706
Kazakhstan,66.923684,48.019573,19621972
Lebanon,35.862285,33.854721,5489739
Liechtenstein,9.555373,47.166,39327
Sri Lanka,80.771797,7.873054,22181000
Liberia,-9.429499,6.428055,5302681
Lesotho,28.233608,-29.609988,2305825
Lithuania,23.881275,55.169438,2833000
Luxembourg,6.129583,49.815273,650774
Latvia,24.603189,56.879635,1883379
Libya,17.228331,26.3351,6812341
Morocco,-7.09262,31.791702,37457971
Monaco,7.412841,43.750298,36469
Moldova,28.369885,47.411631,2592477
Montenegro,19.37439,42.708678,616159
Madagascar,46.869107,-18.766947,29611714
Marshall Islands,171.184478,7.131474,41569
Mali,-3.996166,17.570692,22593590
Mongolia,103.846656,46.862496,3398366
Northern Mariana Islands,145.38469,17.33083,49551
Mauritania,-10.940835,21.00789,4736139
Malta,14.375416,35.937496,523417
Mauritius,57.552152,-20.348404,1262523
Maldives,73.22068,3.202778,523787
Malawi,34.301525,-13.254308,20405317
Mexico,-102.552784,23.634501,127504125
Malaysia,101.975766,4.210484,33938221
Mozambique,35.529562,-18.665695,32969518
Namibia,18.49041,-22.95764,2567012
New Caledonia,165.618042,-20.904305,276780
Niger,8.081666,17.607789,26207977
Nigeria,8.675277,9.081999,218541212
Nicaragua,-85.207229,12.865416,6948392
Netherlands,5.291266,52.132633,17703090
Norway,8.468946,60.472024,5457127
Nepal,84.124008,28.394857,30547580
Nauru,166.931503,-0.522778,12668
New Zealand,174.885971,-40.900557,5124100
Oman,55.923255,21.512583,4576298
Panama,-80.782127,8.537981,4408581
Peru,-75.015152,-9.189967,34049588
French Polynesia,-149.406843,-17.679742,306279
Papua New Guinea,143.95555,-6.314993,10142619
Philippines,121.774017,12.879721,115559009
Pakistan,69.345116,30.375321,235824862
Poland,19.145136,51.919438,37561599
Puerto Rico,-66.590149,18.220833,3221789
Portugal,-8.224454,39.399872,10379007
Palau,134.58252,7.51498,18055
Paraguay,-58.443832,-23.442503,6780744
Qatar,51.183884,25.354826,2695122
Romania,24.96676,45.943161,18956666
Serbia,21.005859,44.016521,6760087
Rwanda,29.873888,-1.940278,13776698
Saudi Arabia,45.079162,23.885942,36408820
Solomon Islands,160.156194,-9.64571,724273
Seychelles,55.491977,-4.679574,100060
Sudan,30.217636,12.862807,46874204
Sweden,18.643501,60.128161,10486941
Singapore,103.819836,1.352083,5637022
Slovenia,14.995463,46.151241,2108732
Sierra Leone,-11.779889,8.460555,8605718
San Marino,12.457777,43.94236,33660
Senegal,-14.452362,14.497401,17316449
Somalia,46.199616,5.152149,17597511
Suriname,-56.027783,3.919305,618040
El Salvador,-88.89653,13.794185,6336392
Turks and Caicos Islands,-71.797928,21.694025,45703
Chad,18.732207,15.454166,17723315
Togo,0.824782,8.619543,8848699
Thailand,100.992541,15.870032,71697030
Tajikistan,71.276093,38.861034,9952787
Timor-Leste,125.727539,-8.874217,1341296
Turkmenistan,59.556278,38.969719,6430770
Tunisia,9.537499,33.886917,12356117
Tonga,-175.198242,-21.178986,106858
Trinidad and Tobago,-61.222503,10.691803,1531044
Tuvalu,177.64933,-7.109535,11312
Tanzania,34.888822,-6.369028,65497748
Ukraine,31.16558,48.379433,38000000
Uganda,32.290275,1.373333,47249585
United States,-95.712891,37.09024,333287557
Uruguay,-55.765835,-32.522779,3422794
Uzbekistan,64.585262,41.377491,35648100
Venezuela,-66.58973,6.42375,28301696
British Virgin Islands,-64.639968,18.420695,31305
Vanuatu,166.959158,-15.376706,326740
Samoa,-172.104629,-13.759029,222382
Kosovo,20.902977,42.602636,1761985
Yemen,48.516388,15.552727,33696614
South Africa,22.937506,-30.559482,59893885
Zambia,27.849332,-13.133897,20017675
Zimbabwe,29.154857,-19.015438,16320537